vocabulary size: 4476
n tunes: 3687
n train tunes: 3503.0
n validation tunes: 184.0
46/13136 (epoch 0.105) train_loss=1848.65515137 time/batch=0.33s
47/13136 (epoch 0.107) train_loss=910.85162354 time/batch=0.17s
48/13136 (epoch 0.110) train_loss=1440.81860352 time/batch=0.26s
49/13136 (epoch 0.112) train_loss=101.27122498 time/batch=0.05s
50/13136 (epoch 0.114) train_loss=1438.36328125 time/batch=0.27s
51/13136 (epoch 0.116) train_loss=158.36796570 time/batch=0.05s
52/13136 (epoch 0.119) train_loss=302.89154053 time/batch=0.06s
53/13136 (epoch 0.121) train_loss=845.37286377 time/batch=0.17s
54/13136 (epoch 0.123) train_loss=214.06344604 time/batch=0.06s
55/13136 (epoch 0.126) train_loss=3570.37500000 time/batch=0.59s
56/13136 (epoch 0.128) train_loss=1873.34130859 time/batch=0.36s
57/13136 (epoch 0.130) train_loss=1881.00769043 time/batch=0.42s
58/13136 (epoch 0.132) train_loss=4117.51660156 time/batch=0.69s
59/13136 (epoch 0.135) train_loss=904.06347656 time/batch=0.19s
60/13136 (epoch 0.137) train_loss=464.07290649 time/batch=0.10s
61/13136 (epoch 0.139) train_loss=1470.84399414 time/batch=0.32s
62/13136 (epoch 0.142) train_loss=492.75881958 time/batch=0.13s
63/13136 (epoch 0.144) train_loss=593.85632324 time/batch=0.13s
64/13136 (epoch 0.146) train_loss=978.96411133 time/batch=0.23s
65/13136 (epoch 0.148) train_loss=897.88555908 time/batch=0.18s
66/13136 (epoch 0.151) train_loss=473.64843750 time/batch=0.12s
67/13136 (epoch 0.153) train_loss=732.56811523 time/batch=0.14s
68/13136 (epoch 0.155) train_loss=1422.04357910 time/batch=0.34s
69/13136 (epoch 0.158) train_loss=461.24725342 time/batch=0.11s
70/13136 (epoch 0.160) train_loss=391.15716553 time/batch=0.09s
71/13136 (epoch 0.162) train_loss=448.59979248 time/batch=0.10s
72/13136 (epoch 0.164) train_loss=740.73461914 time/batch=0.15s
73/13136 (epoch 0.167) train_loss=206.93536377 time/batch=0.06s
74/13136 (epoch 0.169) train_loss=1657.12475586 time/batch=0.40s
75/13136 (epoch 0.171) train_loss=1060.41455078 time/batch=0.23s
76/13136 (epoch 0.174) train_loss=188.29008484 time/batch=0.05s
77/13136 (epoch 0.176) train_loss=975.31787109 time/batch=0.22s
78/13136 (epoch 0.178) train_loss=330.55618286 time/batch=0.09s
79/13136 (epoch 0.180) train_loss=420.17156982 time/batch=0.12s
80/13136 (epoch 0.183) train_loss=275.80026245 time/batch=0.07s
81/13136 (epoch 0.185) train_loss=382.66644287 time/batch=0.10s
82/13136 (epoch 0.187) train_loss=232.63592529 time/batch=0.05s
83/13136 (epoch 0.190) train_loss=570.55645752 time/batch=0.13s
84/13136 (epoch 0.192) train_loss=748.82196045 time/batch=0.17s
85/13136 (epoch 0.194) train_loss=476.05529785 time/batch=0.12s
86/13136 (epoch 0.196) train_loss=3012.75927734 time/batch=0.60s
87/13136 (epoch 0.199) train_loss=226.76022339 time/batch=0.06s
88/13136 (epoch 0.201) train_loss=282.46041870 time/batch=0.07s
89/13136 (epoch 0.203) train_loss=188.45918274 time/batch=0.05s
90/13136 (epoch 0.206) train_loss=422.40017700 time/batch=0.09s
91/13136 (epoch 0.208) train_loss=335.26904297 time/batch=0.09s
92/13136 (epoch 0.210) train_loss=928.71569824 time/batch=0.19s
93/13136 (epoch 0.212) train_loss=539.31408691 time/batch=0.14s
94/13136 (epoch 0.215) train_loss=1723.04150391 time/batch=0.62s
95/13136 (epoch 0.217) train_loss=388.08959961 time/batch=0.10s
96/13136 (epoch 0.219) train_loss=186.04896545 time/batch=0.06s
97/13136 (epoch 0.222) train_loss=434.68481445 time/batch=0.11s
98/13136 (epoch 0.224) train_loss=438.94882202 time/batch=0.11s
99/13136 (epoch 0.226) train_loss=332.94512939 time/batch=0.08s
Validating
    loss:	605.842986

100/13136 (epoch 0.228) train_loss=194.48797607 time/batch=1.94s
101/13136 (epoch 0.231) train_loss=546.42913818 time/batch=0.13s
102/13136 (epoch 0.233) train_loss=920.31158447 time/batch=0.21s
103/13136 (epoch 0.235) train_loss=268.15759277 time/batch=0.06s
104/13136 (epoch 0.238) train_loss=347.22854614 time/batch=0.09s
105/13136 (epoch 0.240) train_loss=287.97296143 time/batch=0.07s
106/13136 (epoch 0.242) train_loss=212.28173828 time/batch=0.07s
107/13136 (epoch 0.244) train_loss=756.96887207 time/batch=0.17s
108/13136 (epoch 0.247) train_loss=490.85037231 time/batch=0.13s
109/13136 (epoch 0.249) train_loss=296.56149292 time/batch=0.07s
110/13136 (epoch 0.251) train_loss=175.28851318 time/batch=0.04s
111/13136 (epoch 0.253) train_loss=466.74752808 time/batch=0.11s
112/13136 (epoch 0.256) train_loss=407.62469482 time/batch=0.10s
113/13136 (epoch 0.258) train_loss=478.04681396 time/batch=0.13s
114/13136 (epoch 0.260) train_loss=503.37469482 time/batch=0.13s
115/13136 (epoch 0.263) train_loss=589.17553711 time/batch=0.15s
116/13136 (epoch 0.265) train_loss=171.03950500 time/batch=0.04s
117/13136 (epoch 0.267) train_loss=434.13433838 time/batch=0.12s
118/13136 (epoch 0.269) train_loss=192.94250488 time/batch=0.05s
119/13136 (epoch 0.272) train_loss=449.46499634 time/batch=0.10s
120/13136 (epoch 0.274) train_loss=197.45358276 time/batch=0.06s
121/13136 (epoch 0.276) train_loss=211.84121704 time/batch=0.04s
122/13136 (epoch 0.279) train_loss=301.01959229 time/batch=0.07s
123/13136 (epoch 0.281) train_loss=826.03588867 time/batch=0.20s
124/13136 (epoch 0.283) train_loss=585.22625732 time/batch=0.13s
125/13136 (epoch 0.285) train_loss=589.96582031 time/batch=0.16s
126/13136 (epoch 0.288) train_loss=351.55841064 time/batch=0.08s
127/13136 (epoch 0.290) train_loss=486.24493408 time/batch=0.12s
128/13136 (epoch 0.292) train_loss=404.43121338 time/batch=0.10s
129/13136 (epoch 0.295) train_loss=324.10067749 time/batch=0.10s
130/13136 (epoch 0.297) train_loss=422.79150391 time/batch=0.08s
131/13136 (epoch 0.299) train_loss=651.40509033 time/batch=0.17s
132/13136 (epoch 0.301) train_loss=761.66625977 time/batch=0.18s
133/13136 (epoch 0.304) train_loss=322.31521606 time/batch=0.08s
134/13136 (epoch 0.306) train_loss=531.24060059 time/batch=0.14s
135/13136 (epoch 0.308) train_loss=398.98364258 time/batch=0.09s
136/13136 (epoch 0.311) train_loss=604.23718262 time/batch=0.16s
137/13136 (epoch 0.313) train_loss=358.93893433 time/batch=0.09s
138/13136 (epoch 0.315) train_loss=828.39453125 time/batch=0.20s
139/13136 (epoch 0.317) train_loss=325.90084839 time/batch=0.09s
140/13136 (epoch 0.320) train_loss=367.01300049 time/batch=0.08s
141/13136 (epoch 0.322) train_loss=227.81597900 time/batch=0.05s
142/13136 (epoch 0.324) train_loss=503.35305786 time/batch=0.14s
143/13136 (epoch 0.327) train_loss=400.46780396 time/batch=0.10s
144/13136 (epoch 0.329) train_loss=369.20291138 time/batch=0.10s
145/13136 (epoch 0.331) train_loss=313.20919800 time/batch=0.07s
146/13136 (epoch 0.333) train_loss=418.84609985 time/batch=0.10s
147/13136 (epoch 0.336) train_loss=302.20562744 time/batch=0.08s
148/13136 (epoch 0.338) train_loss=343.35693359 time/batch=0.08s
149/13136 (epoch 0.340) train_loss=217.49699402 time/batch=0.06s
150/13136 (epoch 0.343) train_loss=378.58087158 time/batch=0.11s
151/13136 (epoch 0.345) train_loss=215.87365723 time/batch=0.05s
152/13136 (epoch 0.347) train_loss=660.91223145 time/batch=0.16s
153/13136 (epoch 0.349) train_loss=189.96604919 time/batch=0.05s
154/13136 (epoch 0.352) train_loss=464.57565308 time/batch=0.12s
155/13136 (epoch 0.354) train_loss=382.17568970 time/batch=0.08s
156/13136 (epoch 0.356) train_loss=332.66567993 time/batch=0.10s
157/13136 (epoch 0.359) train_loss=189.88442993 time/batch=0.05s
158/13136 (epoch 0.361) train_loss=345.69891357 time/batch=0.07s
159/13136 (epoch 0.363) train_loss=683.60302734 time/batch=0.17s
160/13136 (epoch 0.365) train_loss=474.35015869 time/batch=0.11s
161/13136 (epoch 0.368) train_loss=457.97503662 time/batch=0.12s
162/13136 (epoch 0.370) train_loss=453.40005493 time/batch=0.10s
163/13136 (epoch 0.372) train_loss=740.45123291 time/batch=0.21s
164/13136 (epoch 0.375) train_loss=627.84521484 time/batch=0.14s
165/13136 (epoch 0.377) train_loss=605.53320312 time/batch=0.15s
166/13136 (epoch 0.379) train_loss=532.50622559 time/batch=0.13s
167/13136 (epoch 0.381) train_loss=472.53530884 time/batch=0.12s
168/13136 (epoch 0.384) train_loss=256.43283081 time/batch=0.05s
169/13136 (epoch 0.386) train_loss=325.02642822 time/batch=0.07s
170/13136 (epoch 0.388) train_loss=546.92578125 time/batch=0.13s
171/13136 (epoch 0.391) train_loss=620.26599121 time/batch=0.18s
172/13136 (epoch 0.393) train_loss=521.14288330 time/batch=0.13s
173/13136 (epoch 0.395) train_loss=323.42346191 time/batch=0.09s
174/13136 (epoch 0.397) train_loss=333.06842041 time/batch=0.09s
175/13136 (epoch 0.400) train_loss=541.31628418 time/batch=0.13s
176/13136 (epoch 0.402) train_loss=557.56408691 time/batch=0.13s
177/13136 (epoch 0.404) train_loss=213.32031250 time/batch=0.05s
178/13136 (epoch 0.407) train_loss=453.57727051 time/batch=0.11s
179/13136 (epoch 0.409) train_loss=469.31506348 time/batch=0.12s
180/13136 (epoch 0.411) train_loss=519.83441162 time/batch=0.14s
181/13136 (epoch 0.413) train_loss=378.21188354 time/batch=0.07s
182/13136 (epoch 0.416) train_loss=485.22586060 time/batch=0.13s
183/13136 (epoch 0.418) train_loss=250.97573853 time/batch=0.07s
184/13136 (epoch 0.420) train_loss=305.47772217 time/batch=0.07s
185/13136 (epoch 0.422) train_loss=296.28509521 time/batch=0.08s
186/13136 (epoch 0.425) train_loss=491.14971924 time/batch=0.13s
187/13136 (epoch 0.427) train_loss=650.57324219 time/batch=0.15s
188/13136 (epoch 0.429) train_loss=231.70907593 time/batch=0.06s
189/13136 (epoch 0.432) train_loss=389.93615723 time/batch=0.09s
190/13136 (epoch 0.434) train_loss=305.49139404 time/batch=0.08s
191/13136 (epoch 0.436) train_loss=185.31730652 time/batch=0.04s
192/13136 (epoch 0.438) train_loss=395.75701904 time/batch=0.11s
193/13136 (epoch 0.441) train_loss=790.74261475 time/batch=0.17s
194/13136 (epoch 0.443) train_loss=450.45355225 time/batch=0.12s
195/13136 (epoch 0.445) train_loss=408.86401367 time/batch=0.11s
196/13136 (epoch 0.448) train_loss=357.58795166 time/batch=0.10s
197/13136 (epoch 0.450) train_loss=448.60269165 time/batch=0.11s
198/13136 (epoch 0.452) train_loss=204.24264526 time/batch=0.06s
199/13136 (epoch 0.454) train_loss=592.40527344 time/batch=0.13s
Validating
    loss:	602.323514

200/13136 (epoch 0.457) train_loss=465.60125732 time/batch=1.92s
201/13136 (epoch 0.459) train_loss=323.87152100 time/batch=0.09s
202/13136 (epoch 0.461) train_loss=309.15017700 time/batch=0.06s
203/13136 (epoch 0.464) train_loss=215.03408813 time/batch=0.06s
204/13136 (epoch 0.466) train_loss=521.11096191 time/batch=0.14s
205/13136 (epoch 0.468) train_loss=442.30072021 time/batch=0.11s
206/13136 (epoch 0.470) train_loss=236.67695618 time/batch=0.05s
207/13136 (epoch 0.473) train_loss=851.22656250 time/batch=0.16s
208/13136 (epoch 0.475) train_loss=186.57559204 time/batch=0.05s
209/13136 (epoch 0.477) train_loss=699.97216797 time/batch=0.17s
210/13136 (epoch 0.480) train_loss=338.86727905 time/batch=0.08s
211/13136 (epoch 0.482) train_loss=186.43533325 time/batch=0.05s
212/13136 (epoch 0.484) train_loss=346.13763428 time/batch=0.08s
213/13136 (epoch 0.486) train_loss=269.83209229 time/batch=0.07s
214/13136 (epoch 0.489) train_loss=291.23126221 time/batch=0.08s
215/13136 (epoch 0.491) train_loss=405.25860596 time/batch=0.12s
216/13136 (epoch 0.493) train_loss=396.88598633 time/batch=0.09s
217/13136 (epoch 0.496) train_loss=363.43792725 time/batch=0.09s
218/13136 (epoch 0.498) train_loss=523.47192383 time/batch=0.14s
219/13136 (epoch 0.500) train_loss=567.77929688 time/batch=0.16s
220/13136 (epoch 0.502) train_loss=254.54814148 time/batch=0.07s
221/13136 (epoch 0.505) train_loss=277.30020142 time/batch=0.07s
222/13136 (epoch 0.507) train_loss=258.98654175 time/batch=0.07s
223/13136 (epoch 0.509) train_loss=416.06134033 time/batch=0.09s
224/13136 (epoch 0.512) train_loss=271.43447876 time/batch=0.07s
225/13136 (epoch 0.514) train_loss=253.21099854 time/batch=0.06s
226/13136 (epoch 0.516) train_loss=406.04495239 time/batch=0.11s
227/13136 (epoch 0.518) train_loss=238.62234497 time/batch=0.07s
228/13136 (epoch 0.521) train_loss=314.69378662 time/batch=0.07s
229/13136 (epoch 0.523) train_loss=331.64337158 time/batch=0.10s
230/13136 (epoch 0.525) train_loss=471.75970459 time/batch=0.13s
231/13136 (epoch 0.528) train_loss=368.32427979 time/batch=0.10s
232/13136 (epoch 0.530) train_loss=253.59869385 time/batch=0.08s
233/13136 (epoch 0.532) train_loss=525.82885742 time/batch=0.10s
234/13136 (epoch 0.534) train_loss=353.18365479 time/batch=0.08s
235/13136 (epoch 0.537) train_loss=536.12835693 time/batch=0.12s
236/13136 (epoch 0.539) train_loss=453.76385498 time/batch=0.13s
237/13136 (epoch 0.541) train_loss=286.78533936 time/batch=0.07s
238/13136 (epoch 0.544) train_loss=391.60882568 time/batch=0.10s
239/13136 (epoch 0.546) train_loss=549.01947021 time/batch=0.14s
240/13136 (epoch 0.548) train_loss=501.05749512 time/batch=0.11s
241/13136 (epoch 0.550) train_loss=267.49121094 time/batch=0.07s
242/13136 (epoch 0.553) train_loss=623.16723633 time/batch=0.13s
243/13136 (epoch 0.555) train_loss=376.39993286 time/batch=0.10s
244/13136 (epoch 0.557) train_loss=292.68725586 time/batch=0.08s
245/13136 (epoch 0.560) train_loss=407.37142944 time/batch=0.10s
246/13136 (epoch 0.562) train_loss=302.72125244 time/batch=0.08s
247/13136 (epoch 0.564) train_loss=258.82449341 time/batch=0.08s
248/13136 (epoch 0.566) train_loss=457.86785889 time/batch=0.08s
249/13136 (epoch 0.569) train_loss=331.11486816 time/batch=0.08s
250/13136 (epoch 0.571) train_loss=384.16070557 time/batch=0.11s
251/13136 (epoch 0.573) train_loss=288.95721436 time/batch=0.07s
252/13136 (epoch 0.576) train_loss=341.48391724 time/batch=0.08s
253/13136 (epoch 0.578) train_loss=224.56672668 time/batch=0.06s
254/13136 (epoch 0.580) train_loss=442.34149170 time/batch=0.12s
255/13136 (epoch 0.582) train_loss=315.66336060 time/batch=0.08s
256/13136 (epoch 0.585) train_loss=403.60333252 time/batch=0.11s
257/13136 (epoch 0.587) train_loss=437.81896973 time/batch=0.12s
258/13136 (epoch 0.589) train_loss=465.18621826 time/batch=0.11s
259/13136 (epoch 0.591) train_loss=349.27709961 time/batch=0.10s
260/13136 (epoch 0.594) train_loss=296.86456299 time/batch=0.07s
261/13136 (epoch 0.596) train_loss=218.90609741 time/batch=0.06s
262/13136 (epoch 0.598) train_loss=269.20434570 time/batch=0.08s
263/13136 (epoch 0.601) train_loss=548.09375000 time/batch=0.13s
264/13136 (epoch 0.603) train_loss=306.79736328 time/batch=0.09s
265/13136 (epoch 0.605) train_loss=367.51034546 time/batch=0.08s
266/13136 (epoch 0.607) train_loss=236.97375488 time/batch=0.06s
267/13136 (epoch 0.610) train_loss=362.75958252 time/batch=0.10s
268/13136 (epoch 0.612) train_loss=369.70434570 time/batch=0.08s
269/13136 (epoch 0.614) train_loss=474.38558960 time/batch=0.12s
270/13136 (epoch 0.617) train_loss=562.46728516 time/batch=0.12s
271/13136 (epoch 0.619) train_loss=199.56632996 time/batch=0.06s
272/13136 (epoch 0.621) train_loss=324.04449463 time/batch=0.08s
273/13136 (epoch 0.623) train_loss=485.90692139 time/batch=0.09s
274/13136 (epoch 0.626) train_loss=443.82275391 time/batch=0.12s
275/13136 (epoch 0.628) train_loss=489.49627686 time/batch=0.11s
276/13136 (epoch 0.630) train_loss=294.49737549 time/batch=0.08s
277/13136 (epoch 0.633) train_loss=184.47848511 time/batch=0.05s
278/13136 (epoch 0.635) train_loss=366.60412598 time/batch=0.10s
279/13136 (epoch 0.637) train_loss=257.31201172 time/batch=0.07s
280/13136 (epoch 0.639) train_loss=403.94091797 time/batch=0.12s
281/13136 (epoch 0.642) train_loss=481.74682617 time/batch=0.12s
282/13136 (epoch 0.644) train_loss=322.31182861 time/batch=0.09s
283/13136 (epoch 0.646) train_loss=225.40316772 time/batch=0.05s
284/13136 (epoch 0.649) train_loss=248.83978271 time/batch=0.08s
285/13136 (epoch 0.651) train_loss=308.16815186 time/batch=0.07s
286/13136 (epoch 0.653) train_loss=401.28271484 time/batch=0.09s
287/13136 (epoch 0.655) train_loss=427.95251465 time/batch=0.12s
288/13136 (epoch 0.658) train_loss=355.46075439 time/batch=0.10s
289/13136 (epoch 0.660) train_loss=413.60418701 time/batch=0.10s
290/13136 (epoch 0.662) train_loss=181.86968994 time/batch=0.05s
291/13136 (epoch 0.665) train_loss=398.77532959 time/batch=0.11s
292/13136 (epoch 0.667) train_loss=251.97436523 time/batch=0.06s
293/13136 (epoch 0.669) train_loss=299.09954834 time/batch=0.08s
294/13136 (epoch 0.671) train_loss=303.77539062 time/batch=0.09s
295/13136 (epoch 0.674) train_loss=315.50314331 time/batch=0.09s
296/13136 (epoch 0.676) train_loss=427.17877197 time/batch=0.08s
297/13136 (epoch 0.678) train_loss=305.08029175 time/batch=0.08s
298/13136 (epoch 0.681) train_loss=216.14143372 time/batch=0.06s
299/13136 (epoch 0.683) train_loss=457.67895508 time/batch=0.12s
Validating
    loss:	606.195068

300/13136 (epoch 0.685) train_loss=558.30084229 time/batch=2.04s
301/13136 (epoch 0.687) train_loss=276.50280762 time/batch=0.07s
302/13136 (epoch 0.690) train_loss=621.51013184 time/batch=0.18s
303/13136 (epoch 0.692) train_loss=436.40457153 time/batch=0.10s
304/13136 (epoch 0.694) train_loss=416.56350708 time/batch=0.10s
305/13136 (epoch 0.697) train_loss=240.07507324 time/batch=0.07s
306/13136 (epoch 0.699) train_loss=254.13674927 time/batch=0.06s
307/13136 (epoch 0.701) train_loss=493.98095703 time/batch=0.13s
308/13136 (epoch 0.703) train_loss=338.78344727 time/batch=0.09s
309/13136 (epoch 0.706) train_loss=398.84854126 time/batch=0.10s
310/13136 (epoch 0.708) train_loss=203.83201599 time/batch=0.06s
311/13136 (epoch 0.710) train_loss=333.43771362 time/batch=0.08s
312/13136 (epoch 0.713) train_loss=444.70483398 time/batch=0.10s
313/13136 (epoch 0.715) train_loss=401.93731689 time/batch=0.10s
314/13136 (epoch 0.717) train_loss=215.22604370 time/batch=0.06s
315/13136 (epoch 0.719) train_loss=353.84027100 time/batch=0.09s
316/13136 (epoch 0.722) train_loss=274.62615967 time/batch=0.08s
317/13136 (epoch 0.724) train_loss=395.71646118 time/batch=0.10s
318/13136 (epoch 0.726) train_loss=391.97607422 time/batch=0.09s
319/13136 (epoch 0.729) train_loss=230.67901611 time/batch=0.08s
320/13136 (epoch 0.731) train_loss=342.90444946 time/batch=0.09s
321/13136 (epoch 0.733) train_loss=217.00209045 time/batch=0.06s
322/13136 (epoch 0.735) train_loss=567.97021484 time/batch=0.15s
323/13136 (epoch 0.738) train_loss=622.90661621 time/batch=0.14s
324/13136 (epoch 0.740) train_loss=459.39804077 time/batch=0.13s
325/13136 (epoch 0.742) train_loss=320.93081665 time/batch=0.08s
326/13136 (epoch 0.745) train_loss=224.47631836 time/batch=0.07s
327/13136 (epoch 0.747) train_loss=418.15554810 time/batch=0.10s
328/13136 (epoch 0.749) train_loss=219.73020935 time/batch=0.05s
329/13136 (epoch 0.751) train_loss=390.20700073 time/batch=0.12s
330/13136 (epoch 0.754) train_loss=608.91955566 time/batch=0.14s
331/13136 (epoch 0.756) train_loss=272.04187012 time/batch=0.07s
332/13136 (epoch 0.758) train_loss=361.10815430 time/batch=0.08s
333/13136 (epoch 0.760) train_loss=272.14614868 time/batch=0.07s
334/13136 (epoch 0.763) train_loss=389.79656982 time/batch=0.09s
335/13136 (epoch 0.765) train_loss=267.28448486 time/batch=0.07s
336/13136 (epoch 0.767) train_loss=450.31256104 time/batch=0.12s
337/13136 (epoch 0.770) train_loss=322.35656738 time/batch=0.08s
338/13136 (epoch 0.772) train_loss=441.61016846 time/batch=0.13s
339/13136 (epoch 0.774) train_loss=286.24877930 time/batch=0.06s
340/13136 (epoch 0.776) train_loss=329.97915649 time/batch=0.09s
341/13136 (epoch 0.779) train_loss=338.88327026 time/batch=0.09s
342/13136 (epoch 0.781) train_loss=306.66711426 time/batch=0.07s
343/13136 (epoch 0.783) train_loss=182.68322754 time/batch=0.06s
344/13136 (epoch 0.786) train_loss=188.98612976 time/batch=0.05s
345/13136 (epoch 0.788) train_loss=257.73345947 time/batch=0.07s
346/13136 (epoch 0.790) train_loss=346.39611816 time/batch=0.09s
347/13136 (epoch 0.792) train_loss=257.89614868 time/batch=0.07s
348/13136 (epoch 0.795) train_loss=275.02960205 time/batch=0.08s
349/13136 (epoch 0.797) train_loss=303.08392334 time/batch=0.08s
350/13136 (epoch 0.799) train_loss=223.50732422 time/batch=0.07s
351/13136 (epoch 0.802) train_loss=395.12026978 time/batch=0.11s
352/13136 (epoch 0.804) train_loss=443.77636719 time/batch=0.11s
353/13136 (epoch 0.806) train_loss=242.28842163 time/batch=0.07s
354/13136 (epoch 0.808) train_loss=255.58268738 time/batch=0.06s
355/13136 (epoch 0.811) train_loss=242.84991455 time/batch=0.07s
356/13136 (epoch 0.813) train_loss=339.51428223 time/batch=0.09s
357/13136 (epoch 0.815) train_loss=303.66613770 time/batch=0.08s
358/13136 (epoch 0.818) train_loss=201.26434326 time/batch=0.06s
359/13136 (epoch 0.820) train_loss=274.59478760 time/batch=0.07s
360/13136 (epoch 0.822) train_loss=275.52514648 time/batch=0.07s
361/13136 (epoch 0.824) train_loss=397.93093872 time/batch=0.10s
362/13136 (epoch 0.827) train_loss=473.47393799 time/batch=0.11s
363/13136 (epoch 0.829) train_loss=264.32788086 time/batch=0.07s
364/13136 (epoch 0.831) train_loss=182.37625122 time/batch=0.05s
365/13136 (epoch 0.834) train_loss=293.96166992 time/batch=0.07s
366/13136 (epoch 0.836) train_loss=320.14270020 time/batch=0.08s
367/13136 (epoch 0.838) train_loss=486.87701416 time/batch=0.12s
368/13136 (epoch 0.840) train_loss=443.70178223 time/batch=0.12s
369/13136 (epoch 0.843) train_loss=199.51150513 time/batch=0.05s
370/13136 (epoch 0.845) train_loss=388.12060547 time/batch=0.10s
371/13136 (epoch 0.847) train_loss=235.93812561 time/batch=0.07s
372/13136 (epoch 0.850) train_loss=300.04528809 time/batch=0.08s
373/13136 (epoch 0.852) train_loss=283.12811279 time/batch=0.08s
374/13136 (epoch 0.854) train_loss=318.35437012 time/batch=0.08s
375/13136 (epoch 0.856) train_loss=230.85772705 time/batch=0.06s
376/13136 (epoch 0.859) train_loss=248.56481934 time/batch=0.07s
377/13136 (epoch 0.861) train_loss=236.65663147 time/batch=0.08s
378/13136 (epoch 0.863) train_loss=318.28195190 time/batch=0.08s
379/13136 (epoch 0.866) train_loss=360.85372925 time/batch=0.09s
380/13136 (epoch 0.868) train_loss=198.12075806 time/batch=0.06s
381/13136 (epoch 0.870) train_loss=201.35211182 time/batch=0.04s
382/13136 (epoch 0.872) train_loss=448.29266357 time/batch=0.12s
383/13136 (epoch 0.875) train_loss=200.61431885 time/batch=0.05s
384/13136 (epoch 0.877) train_loss=201.66625977 time/batch=0.06s
385/13136 (epoch 0.879) train_loss=233.21888733 time/batch=0.07s
386/13136 (epoch 0.882) train_loss=410.06051636 time/batch=0.10s
387/13136 (epoch 0.884) train_loss=335.70660400 time/batch=0.08s
