vocabulary size: 5958
n tunes: 3688
n train tunes: 3504.0
n validation tunes: 184.0
43/43800 (epoch 0.098) train_loss=287.89404297 time/batch=0.07s
44/43800 (epoch 0.100) train_loss=764.81945801 time/batch=0.15s
45/43800 (epoch 0.103) train_loss=2944.04833984 time/batch=0.55s
46/43800 (epoch 0.105) train_loss=4247.37451172 time/batch=2.20s
47/43800 (epoch 0.107) train_loss=1581.47094727 time/batch=0.39s
48/43800 (epoch 0.110) train_loss=800.61926270 time/batch=0.17s
49/43800 (epoch 0.112) train_loss=4192.25000000 time/batch=0.71s
50/43800 (epoch 0.114) train_loss=336.76306152 time/batch=0.11s
51/43800 (epoch 0.116) train_loss=378.03125000 time/batch=0.07s
52/43800 (epoch 0.119) train_loss=516.84326172 time/batch=0.11s
53/43800 (epoch 0.121) train_loss=5601.82910156 time/batch=1.31s
54/43800 (epoch 0.123) train_loss=870.67010498 time/batch=0.24s
55/43800 (epoch 0.126) train_loss=908.71325684 time/batch=0.17s
56/43800 (epoch 0.128) train_loss=1981.51696777 time/batch=0.30s
57/43800 (epoch 0.130) train_loss=2094.48583984 time/batch=0.46s
58/43800 (epoch 0.132) train_loss=699.87792969 time/batch=0.16s
59/43800 (epoch 0.135) train_loss=1732.80810547 time/batch=0.28s
60/43800 (epoch 0.137) train_loss=1534.21923828 time/batch=0.25s
61/43800 (epoch 0.139) train_loss=328.59927368 time/batch=0.08s
62/43800 (epoch 0.142) train_loss=860.84594727 time/batch=0.17s
63/43800 (epoch 0.144) train_loss=424.31134033 time/batch=0.10s
64/43800 (epoch 0.146) train_loss=697.26300049 time/batch=0.13s
65/43800 (epoch 0.148) train_loss=360.39300537 time/batch=0.09s
66/43800 (epoch 0.151) train_loss=927.42663574 time/batch=0.19s
67/43800 (epoch 0.153) train_loss=930.97253418 time/batch=0.19s
68/43800 (epoch 0.155) train_loss=579.24621582 time/batch=0.13s
69/43800 (epoch 0.158) train_loss=472.81497192 time/batch=0.10s
70/43800 (epoch 0.160) train_loss=1660.94042969 time/batch=0.33s
71/43800 (epoch 0.162) train_loss=851.15502930 time/batch=0.18s
72/43800 (epoch 0.164) train_loss=1726.15917969 time/batch=0.30s
73/43800 (epoch 0.167) train_loss=487.54187012 time/batch=0.11s
74/43800 (epoch 0.169) train_loss=1419.01831055 time/batch=0.32s
75/43800 (epoch 0.171) train_loss=546.23559570 time/batch=0.11s
76/43800 (epoch 0.174) train_loss=491.06524658 time/batch=0.11s
77/43800 (epoch 0.176) train_loss=674.39282227 time/batch=0.14s
78/43800 (epoch 0.178) train_loss=1773.25195312 time/batch=0.24s
79/43800 (epoch 0.180) train_loss=1205.92651367 time/batch=0.23s
80/43800 (epoch 0.183) train_loss=1070.63818359 time/batch=0.21s
81/43800 (epoch 0.185) train_loss=432.15930176 time/batch=0.12s
82/43800 (epoch 0.187) train_loss=657.61840820 time/batch=0.14s
83/43800 (epoch 0.189) train_loss=918.68511963 time/batch=0.17s
84/43800 (epoch 0.192) train_loss=267.89770508 time/batch=0.07s
85/43800 (epoch 0.194) train_loss=1646.57836914 time/batch=0.28s
86/43800 (epoch 0.196) train_loss=773.06683350 time/batch=0.15s
87/43800 (epoch 0.199) train_loss=705.49218750 time/batch=0.16s
88/43800 (epoch 0.201) train_loss=248.10317993 time/batch=0.06s
89/43800 (epoch 0.203) train_loss=1919.12402344 time/batch=0.34s
90/43800 (epoch 0.205) train_loss=1449.91113281 time/batch=0.25s
91/43800 (epoch 0.208) train_loss=419.68316650 time/batch=0.10s
92/43800 (epoch 0.210) train_loss=1465.69128418 time/batch=0.26s
93/43800 (epoch 0.212) train_loss=422.36376953 time/batch=0.10s
94/43800 (epoch 0.215) train_loss=3078.06982422 time/batch=0.59s
95/43800 (epoch 0.217) train_loss=356.74945068 time/batch=0.09s
96/43800 (epoch 0.219) train_loss=465.79754639 time/batch=0.10s
97/43800 (epoch 0.221) train_loss=202.31317139 time/batch=0.05s
98/43800 (epoch 0.224) train_loss=71.95736694 time/batch=0.03s
99/43800 (epoch 0.226) train_loss=836.50341797 time/batch=0.16s
Validating
    loss:	738.768200

100/43800 (epoch 0.228) train_loss=2110.76757812 time/batch=2.68s
101/43800 (epoch 0.231) train_loss=440.99578857 time/batch=0.11s
102/43800 (epoch 0.233) train_loss=754.28759766 time/batch=0.14s
103/43800 (epoch 0.235) train_loss=204.08592224 time/batch=0.05s
104/43800 (epoch 0.237) train_loss=331.52069092 time/batch=0.07s
105/43800 (epoch 0.240) train_loss=184.82444763 time/batch=0.04s
106/43800 (epoch 0.242) train_loss=422.48303223 time/batch=0.10s
107/43800 (epoch 0.244) train_loss=372.18869019 time/batch=0.08s
108/43800 (epoch 0.247) train_loss=1191.25512695 time/batch=0.24s
109/43800 (epoch 0.249) train_loss=2281.62792969 time/batch=0.36s
110/43800 (epoch 0.251) train_loss=327.64093018 time/batch=0.08s
111/43800 (epoch 0.253) train_loss=485.21240234 time/batch=0.09s
112/43800 (epoch 0.256) train_loss=207.68418884 time/batch=0.06s
113/43800 (epoch 0.258) train_loss=334.32519531 time/batch=0.07s
114/43800 (epoch 0.260) train_loss=526.32690430 time/batch=0.11s
115/43800 (epoch 0.263) train_loss=453.81933594 time/batch=0.11s
116/43800 (epoch 0.265) train_loss=456.78875732 time/batch=0.10s
117/43800 (epoch 0.267) train_loss=226.44918823 time/batch=0.06s
118/43800 (epoch 0.269) train_loss=651.07928467 time/batch=0.13s
119/43800 (epoch 0.272) train_loss=1463.07080078 time/batch=0.31s
120/43800 (epoch 0.274) train_loss=244.11422729 time/batch=0.07s
121/43800 (epoch 0.276) train_loss=363.39947510 time/batch=0.07s
122/43800 (epoch 0.279) train_loss=296.84616089 time/batch=0.07s
123/43800 (epoch 0.281) train_loss=220.31359863 time/batch=0.07s
124/43800 (epoch 0.283) train_loss=1082.91284180 time/batch=0.20s
125/43800 (epoch 0.285) train_loss=184.14132690 time/batch=0.04s
126/43800 (epoch 0.288) train_loss=460.85784912 time/batch=0.11s
127/43800 (epoch 0.290) train_loss=443.58923340 time/batch=0.10s
128/43800 (epoch 0.292) train_loss=563.05108643 time/batch=0.12s
129/43800 (epoch 0.295) train_loss=512.04211426 time/batch=0.12s
130/43800 (epoch 0.297) train_loss=639.33050537 time/batch=0.14s
131/43800 (epoch 0.299) train_loss=428.85705566 time/batch=0.10s
132/43800 (epoch 0.301) train_loss=519.29986572 time/batch=0.12s
133/43800 (epoch 0.304) train_loss=181.84664917 time/batch=0.05s
134/43800 (epoch 0.306) train_loss=2106.97534180 time/batch=0.36s
135/43800 (epoch 0.308) train_loss=267.88052368 time/batch=0.08s
136/43800 (epoch 0.311) train_loss=1385.36840820 time/batch=0.22s
137/43800 (epoch 0.313) train_loss=935.23059082 time/batch=0.20s
138/43800 (epoch 0.315) train_loss=596.59802246 time/batch=0.13s
139/43800 (epoch 0.317) train_loss=647.79296875 time/batch=0.15s
140/43800 (epoch 0.320) train_loss=296.18927002 time/batch=0.07s
141/43800 (epoch 0.322) train_loss=473.78649902 time/batch=0.11s
142/43800 (epoch 0.324) train_loss=440.08691406 time/batch=0.09s
143/43800 (epoch 0.326) train_loss=343.53057861 time/batch=0.08s
144/43800 (epoch 0.329) train_loss=869.28894043 time/batch=0.16s
145/43800 (epoch 0.331) train_loss=207.63189697 time/batch=0.05s
146/43800 (epoch 0.333) train_loss=346.13580322 time/batch=0.07s
147/43800 (epoch 0.336) train_loss=217.97647095 time/batch=0.06s
148/43800 (epoch 0.338) train_loss=1074.84521484 time/batch=0.21s
149/43800 (epoch 0.340) train_loss=451.87899780 time/batch=0.10s
150/43800 (epoch 0.342) train_loss=389.47387695 time/batch=0.09s
151/43800 (epoch 0.345) train_loss=626.97070312 time/batch=0.14s
152/43800 (epoch 0.347) train_loss=400.51452637 time/batch=0.10s
153/43800 (epoch 0.349) train_loss=709.79132080 time/batch=0.15s
154/43800 (epoch 0.352) train_loss=319.54608154 time/batch=0.06s
155/43800 (epoch 0.354) train_loss=394.90997314 time/batch=0.09s
156/43800 (epoch 0.356) train_loss=318.15496826 time/batch=0.07s
157/43800 (epoch 0.358) train_loss=190.09063721 time/batch=0.06s
158/43800 (epoch 0.361) train_loss=469.83258057 time/batch=0.11s
159/43800 (epoch 0.363) train_loss=257.74755859 time/batch=0.07s
160/43800 (epoch 0.365) train_loss=331.11120605 time/batch=0.08s
161/43800 (epoch 0.368) train_loss=399.22695923 time/batch=0.09s
162/43800 (epoch 0.370) train_loss=344.55160522 time/batch=0.07s
163/43800 (epoch 0.372) train_loss=395.08346558 time/batch=0.09s
164/43800 (epoch 0.374) train_loss=348.72644043 time/batch=0.08s
165/43800 (epoch 0.377) train_loss=340.70733643 time/batch=0.07s
166/43800 (epoch 0.379) train_loss=232.58520508 time/batch=0.05s
167/43800 (epoch 0.381) train_loss=406.22491455 time/batch=0.09s
168/43800 (epoch 0.384) train_loss=769.38012695 time/batch=0.16s
169/43800 (epoch 0.386) train_loss=399.94097900 time/batch=0.10s
170/43800 (epoch 0.388) train_loss=377.18463135 time/batch=0.07s
171/43800 (epoch 0.390) train_loss=9.62593079 time/batch=0.02s
172/43800 (epoch 0.393) train_loss=340.20886230 time/batch=0.06s
173/43800 (epoch 0.395) train_loss=785.43316650 time/batch=0.17s
174/43800 (epoch 0.397) train_loss=480.07116699 time/batch=0.11s
175/43800 (epoch 0.400) train_loss=489.64968872 time/batch=0.11s
176/43800 (epoch 0.402) train_loss=389.32318115 time/batch=0.09s
177/43800 (epoch 0.404) train_loss=1320.97436523 time/batch=0.23s
178/43800 (epoch 0.406) train_loss=364.09313965 time/batch=0.08s
179/43800 (epoch 0.409) train_loss=570.36035156 time/batch=0.12s
180/43800 (epoch 0.411) train_loss=620.71875000 time/batch=0.13s
181/43800 (epoch 0.413) train_loss=460.88568115 time/batch=0.11s
182/43800 (epoch 0.416) train_loss=191.49545288 time/batch=0.04s
183/43800 (epoch 0.418) train_loss=239.93017578 time/batch=0.07s
184/43800 (epoch 0.420) train_loss=547.96191406 time/batch=0.12s
185/43800 (epoch 0.422) train_loss=281.84564209 time/batch=0.07s
186/43800 (epoch 0.425) train_loss=366.90884399 time/batch=0.08s
187/43800 (epoch 0.427) train_loss=524.68450928 time/batch=0.12s
188/43800 (epoch 0.429) train_loss=317.28424072 time/batch=0.08s
189/43800 (epoch 0.432) train_loss=603.22973633 time/batch=0.12s
190/43800 (epoch 0.434) train_loss=459.35937500 time/batch=0.10s
191/43800 (epoch 0.436) train_loss=483.84454346 time/batch=0.10s
192/43800 (epoch 0.438) train_loss=595.11334229 time/batch=0.14s
193/43800 (epoch 0.441) train_loss=308.59341431 time/batch=0.07s
194/43800 (epoch 0.443) train_loss=530.90979004 time/batch=0.11s
195/43800 (epoch 0.445) train_loss=793.56427002 time/batch=0.23s
196/43800 (epoch 0.447) train_loss=250.09762573 time/batch=0.06s
197/43800 (epoch 0.450) train_loss=282.98806763 time/batch=0.06s
198/43800 (epoch 0.452) train_loss=347.84527588 time/batch=0.08s
199/43800 (epoch 0.454) train_loss=509.75903320 time/batch=0.12s
Validating
    loss:	787.453443

200/43800 (epoch 0.457) train_loss=461.05154419 time/batch=2.60s
201/43800 (epoch 0.459) train_loss=202.52867126 time/batch=0.06s
202/43800 (epoch 0.461) train_loss=302.12322998 time/batch=0.06s
203/43800 (epoch 0.463) train_loss=397.06918335 time/batch=0.08s
204/43800 (epoch 0.466) train_loss=43.04174805 time/batch=0.03s
205/43800 (epoch 0.468) train_loss=291.79461670 time/batch=0.07s
206/43800 (epoch 0.470) train_loss=499.98883057 time/batch=0.10s
207/43800 (epoch 0.473) train_loss=400.67700195 time/batch=0.11s
208/43800 (epoch 0.475) train_loss=326.81207275 time/batch=0.08s
209/43800 (epoch 0.477) train_loss=430.23150635 time/batch=0.12s
210/43800 (epoch 0.479) train_loss=209.85752869 time/batch=0.05s
211/43800 (epoch 0.482) train_loss=532.67352295 time/batch=0.12s
212/43800 (epoch 0.484) train_loss=415.24920654 time/batch=0.09s
213/43800 (epoch 0.486) train_loss=463.97430420 time/batch=0.10s
214/43800 (epoch 0.489) train_loss=387.21563721 time/batch=0.08s
215/43800 (epoch 0.491) train_loss=327.51379395 time/batch=0.07s
216/43800 (epoch 0.493) train_loss=188.13859558 time/batch=0.04s
217/43800 (epoch 0.495) train_loss=538.87078857 time/batch=0.10s
218/43800 (epoch 0.498) train_loss=78.10557556 time/batch=0.05s
219/43800 (epoch 0.500) train_loss=314.47241211 time/batch=0.07s
220/43800 (epoch 0.502) train_loss=201.93965149 time/batch=0.05s
221/43800 (epoch 0.505) train_loss=245.62136841 time/batch=0.05s
222/43800 (epoch 0.507) train_loss=340.50689697 time/batch=0.08s
223/43800 (epoch 0.509) train_loss=176.10504150 time/batch=0.05s
224/43800 (epoch 0.511) train_loss=691.33203125 time/batch=0.12s
225/43800 (epoch 0.514) train_loss=213.02294922 time/batch=0.06s
226/43800 (epoch 0.516) train_loss=283.74539185 time/batch=0.07s
227/43800 (epoch 0.518) train_loss=451.91213989 time/batch=0.10s
228/43800 (epoch 0.521) train_loss=407.72924805 time/batch=0.09s
229/43800 (epoch 0.523) train_loss=317.42257690 time/batch=0.09s
230/43800 (epoch 0.525) train_loss=586.41296387 time/batch=0.13s
231/43800 (epoch 0.527) train_loss=493.01315308 time/batch=0.10s
232/43800 (epoch 0.530) train_loss=345.97412109 time/batch=0.09s
233/43800 (epoch 0.532) train_loss=242.46064758 time/batch=0.06s
234/43800 (epoch 0.534) train_loss=254.73939514 time/batch=0.06s
235/43800 (epoch 0.537) train_loss=285.89907837 time/batch=0.07s
236/43800 (epoch 0.539) train_loss=342.03393555 time/batch=0.07s
237/43800 (epoch 0.541) train_loss=302.12457275 time/batch=0.07s
238/43800 (epoch 0.543) train_loss=253.60473633 time/batch=0.06s
239/43800 (epoch 0.546) train_loss=376.05004883 time/batch=0.09s
240/43800 (epoch 0.548) train_loss=236.82583618 time/batch=0.06s
241/43800 (epoch 0.550) train_loss=282.98309326 time/batch=0.07s
242/43800 (epoch 0.553) train_loss=515.15869141 time/batch=0.12s
243/43800 (epoch 0.555) train_loss=503.33593750 time/batch=0.09s
244/43800 (epoch 0.557) train_loss=271.54101562 time/batch=0.07s
245/43800 (epoch 0.559) train_loss=386.89416504 time/batch=0.11s
246/43800 (epoch 0.562) train_loss=368.14511108 time/batch=0.06s
247/43800 (epoch 0.564) train_loss=459.55187988 time/batch=0.11s
248/43800 (epoch 0.566) train_loss=486.45016479 time/batch=0.12s
249/43800 (epoch 0.568) train_loss=357.09045410 time/batch=0.08s
250/43800 (epoch 0.571) train_loss=609.14141846 time/batch=0.13s
251/43800 (epoch 0.573) train_loss=465.02331543 time/batch=0.11s
252/43800 (epoch 0.575) train_loss=286.44702148 time/batch=0.06s
253/43800 (epoch 0.578) train_loss=554.55010986 time/batch=0.13s
254/43800 (epoch 0.580) train_loss=286.27703857 time/batch=0.07s
255/43800 (epoch 0.582) train_loss=407.35623169 time/batch=0.10s
256/43800 (epoch 0.584) train_loss=330.49859619 time/batch=0.07s
257/43800 (epoch 0.587) train_loss=333.43841553 time/batch=0.07s
258/43800 (epoch 0.589) train_loss=328.16018677 time/batch=0.08s
259/43800 (epoch 0.591) train_loss=315.25344849 time/batch=0.07s
260/43800 (epoch 0.594) train_loss=396.60345459 time/batch=0.10s
261/43800 (epoch 0.596) train_loss=274.99554443 time/batch=0.07s
262/43800 (epoch 0.598) train_loss=371.77261353 time/batch=0.08s
263/43800 (epoch 0.600) train_loss=218.62699890 time/batch=0.05s
264/43800 (epoch 0.603) train_loss=545.23791504 time/batch=0.11s
265/43800 (epoch 0.605) train_loss=386.37670898 time/batch=0.08s
266/43800 (epoch 0.607) train_loss=457.34530640 time/batch=0.11s
267/43800 (epoch 0.610) train_loss=514.21582031 time/batch=0.12s
268/43800 (epoch 0.612) train_loss=278.44790649 time/batch=0.05s
269/43800 (epoch 0.614) train_loss=313.17404175 time/batch=0.08s
270/43800 (epoch 0.616) train_loss=653.07202148 time/batch=0.12s
271/43800 (epoch 0.619) train_loss=439.44085693 time/batch=0.11s
272/43800 (epoch 0.621) train_loss=376.32638550 time/batch=0.09s
273/43800 (epoch 0.623) train_loss=207.71569824 time/batch=0.05s
274/43800 (epoch 0.626) train_loss=434.14712524 time/batch=0.09s
275/43800 (epoch 0.628) train_loss=321.08389282 time/batch=0.08s
276/43800 (epoch 0.630) train_loss=214.46722412 time/batch=0.05s
277/43800 (epoch 0.632) train_loss=358.03741455 time/batch=0.07s
278/43800 (epoch 0.635) train_loss=409.77923584 time/batch=0.09s
279/43800 (epoch 0.637) train_loss=499.32312012 time/batch=0.10s
280/43800 (epoch 0.639) train_loss=512.43957520 time/batch=0.12s
281/43800 (epoch 0.642) train_loss=352.49798584 time/batch=0.08s
282/43800 (epoch 0.644) train_loss=203.21243286 time/batch=0.04s
283/43800 (epoch 0.646) train_loss=408.01434326 time/batch=0.09s
284/43800 (epoch 0.648) train_loss=283.76388550 time/batch=0.07s
285/43800 (epoch 0.651) train_loss=461.33544922 time/batch=0.10s
286/43800 (epoch 0.653) train_loss=513.91894531 time/batch=0.14s
287/43800 (epoch 0.655) train_loss=202.93643188 time/batch=0.06s
288/43800 (epoch 0.658) train_loss=390.60183716 time/batch=0.08s
289/43800 (epoch 0.660) train_loss=218.55993652 time/batch=0.04s
290/43800 (epoch 0.662) train_loss=298.30401611 time/batch=0.07s
291/43800 (epoch 0.664) train_loss=269.67346191 time/batch=0.07s
292/43800 (epoch 0.667) train_loss=396.92272949 time/batch=0.09s
293/43800 (epoch 0.669) train_loss=421.41674805 time/batch=0.09s
294/43800 (epoch 0.671) train_loss=396.72418213 time/batch=0.09s
295/43800 (epoch 0.674) train_loss=291.88977051 time/batch=0.06s
296/43800 (epoch 0.676) train_loss=333.73284912 time/batch=0.09s
297/43800 (epoch 0.678) train_loss=371.34722900 time/batch=0.09s
298/43800 (epoch 0.680) train_loss=214.79371643 time/batch=0.06s
299/43800 (epoch 0.683) train_loss=472.43597412 time/batch=0.11s
Validating
    loss:	822.896583

300/43800 (epoch 0.685) train_loss=234.54815674 time/batch=2.38s
301/43800 (epoch 0.687) train_loss=405.65017700 time/batch=0.10s
302/43800 (epoch 0.689) train_loss=335.62603760 time/batch=0.06s
303/43800 (epoch 0.692) train_loss=361.95385742 time/batch=0.09s
304/43800 (epoch 0.694) train_loss=446.04095459 time/batch=0.11s
305/43800 (epoch 0.696) train_loss=341.71032715 time/batch=0.08s
306/43800 (epoch 0.699) train_loss=356.78332520 time/batch=0.09s
307/43800 (epoch 0.701) train_loss=308.04757690 time/batch=0.08s
308/43800 (epoch 0.703) train_loss=242.14880371 time/batch=0.05s
309/43800 (epoch 0.705) train_loss=224.23266602 time/batch=0.06s
310/43800 (epoch 0.708) train_loss=183.96730042 time/batch=0.04s
311/43800 (epoch 0.710) train_loss=200.06039429 time/batch=0.05s
312/43800 (epoch 0.712) train_loss=397.43286133 time/batch=0.09s
313/43800 (epoch 0.715) train_loss=314.86572266 time/batch=0.07s
314/43800 (epoch 0.717) train_loss=209.95643616 time/batch=0.06s
315/43800 (epoch 0.719) train_loss=389.71826172 time/batch=0.09s
316/43800 (epoch 0.721) train_loss=420.88699341 time/batch=0.10s
317/43800 (epoch 0.724) train_loss=361.24859619 time/batch=0.09s
318/43800 (epoch 0.726) train_loss=320.29840088 time/batch=0.08s
319/43800 (epoch 0.728) train_loss=422.43786621 time/batch=0.10s
320/43800 (epoch 0.731) train_loss=248.07464600 time/batch=0.04s
321/43800 (epoch 0.733) train_loss=455.32049561 time/batch=0.09s
322/43800 (epoch 0.735) train_loss=421.47720337 time/batch=0.09s
323/43800 (epoch 0.737) train_loss=194.16946411 time/batch=0.06s
324/43800 (epoch 0.740) train_loss=308.91674805 time/batch=0.07s
325/43800 (epoch 0.742) train_loss=350.24935913 time/batch=0.10s
326/43800 (epoch 0.744) train_loss=272.92910767 time/batch=0.06s
327/43800 (epoch 0.747) train_loss=300.89410400 time/batch=0.07s
328/43800 (epoch 0.749) train_loss=470.32904053 time/batch=0.11s
329/43800 (epoch 0.751) train_loss=167.55441284 time/batch=0.04s
330/43800 (epoch 0.753) train_loss=421.97900391 time/batch=0.09s
331/43800 (epoch 0.756) train_loss=389.49749756 time/batch=0.08s
332/43800 (epoch 0.758) train_loss=406.65533447 time/batch=0.09s
333/43800 (epoch 0.760) train_loss=511.15890503 time/batch=0.12s
334/43800 (epoch 0.763) train_loss=248.37106323 time/batch=0.07s
335/43800 (epoch 0.765) train_loss=384.94058228 time/batch=0.09s
336/43800 (epoch 0.767) train_loss=415.18670654 time/batch=0.10s
337/43800 (epoch 0.769) train_loss=405.09237671 time/batch=0.09s
338/43800 (epoch 0.772) train_loss=10.21158791 time/batch=0.02s
339/43800 (epoch 0.774) train_loss=284.07553101 time/batch=0.07s
340/43800 (epoch 0.776) train_loss=300.03552246 time/batch=0.06s
341/43800 (epoch 0.779) train_loss=369.48583984 time/batch=0.08s
342/43800 (epoch 0.781) train_loss=259.55044556 time/batch=0.06s
343/43800 (epoch 0.783) train_loss=389.70169067 time/batch=0.08s
344/43800 (epoch 0.785) train_loss=395.75152588 time/batch=0.09s
345/43800 (epoch 0.788) train_loss=252.42224121 time/batch=0.07s
346/43800 (epoch 0.790) train_loss=355.15985107 time/batch=0.08s
347/43800 (epoch 0.792) train_loss=263.63879395 time/batch=0.06s
348/43800 (epoch 0.795) train_loss=289.08435059 time/batch=0.07s
349/43800 (epoch 0.797) train_loss=291.76083374 time/batch=0.07s
350/43800 (epoch 0.799) train_loss=448.78247070 time/batch=0.10s
351/43800 (epoch 0.801) train_loss=377.88937378 time/batch=0.07s
352/43800 (epoch 0.804) train_loss=202.81002808 time/batch=0.05s
353/43800 (epoch 0.806) train_loss=334.39202881 time/batch=0.08s
354/43800 (epoch 0.808) train_loss=189.61654663 time/batch=0.05s
355/43800 (epoch 0.811) train_loss=403.29925537 time/batch=0.10s
356/43800 (epoch 0.813) train_loss=269.10641479 time/batch=0.06s
357/43800 (epoch 0.815) train_loss=375.56201172 time/batch=0.09s
358/43800 (epoch 0.817) train_loss=264.90631104 time/batch=0.06s
359/43800 (epoch 0.820) train_loss=225.27793884 time/batch=0.06s
360/43800 (epoch 0.822) train_loss=266.37829590 time/batch=0.06s
361/43800 (epoch 0.824) train_loss=252.87890625 time/batch=0.06s
362/43800 (epoch 0.826) train_loss=240.78588867 time/batch=0.05s
363/43800 (epoch 0.829) train_loss=318.66455078 time/batch=0.07s
364/43800 (epoch 0.831) train_loss=322.48397827 time/batch=0.07s
365/43800 (epoch 0.833) train_loss=222.24722290 time/batch=0.06s
366/43800 (epoch 0.836) train_loss=240.93791199 time/batch=0.06s
367/43800 (epoch 0.838) train_loss=347.78082275 time/batch=0.08s
368/43800 (epoch 0.840) train_loss=268.06402588 time/batch=0.07s
369/43800 (epoch 0.842) train_loss=211.54364014 time/batch=0.05s
370/43800 (epoch 0.845) train_loss=291.10430908 time/batch=0.06s
371/43800 (epoch 0.847) train_loss=305.57757568 time/batch=0.08s
372/43800 (epoch 0.849) train_loss=337.28823853 time/batch=0.08s
373/43800 (epoch 0.852) train_loss=246.15388489 time/batch=0.06s
374/43800 (epoch 0.854) train_loss=252.84960938 time/batch=0.06s
375/43800 (epoch 0.856) train_loss=198.77261353 time/batch=0.05s
376/43800 (epoch 0.858) train_loss=419.20764160 time/batch=0.09s
377/43800 (epoch 0.861) train_loss=211.02267456 time/batch=0.05s
378/43800 (epoch 0.863) train_loss=202.19274902 time/batch=0.05s
379/43800 (epoch 0.865) train_loss=9.62250614 time/batch=0.02s
380/43800 (epoch 0.868) train_loss=377.12567139 time/batch=0.08s
381/43800 (epoch 0.870) train_loss=389.03308105 time/batch=0.08s
382/43800 (epoch 0.872) train_loss=278.52551270 time/batch=0.08s
383/43800 (epoch 0.874) train_loss=267.52871704 time/batch=0.06s
384/43800 (epoch 0.877) train_loss=355.06369019 time/batch=0.08s
385/43800 (epoch 0.879) train_loss=318.73095703 time/batch=0.09s
386/43800 (epoch 0.881) train_loss=371.88873291 time/batch=0.08s
